Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000614274, 0.000213858, 0.000399102, 0.000169518, 5809, 2125, 12144
0.000772743, 0.000233518, 0.000538734, 0.000232993, 5767, 2548, 18183
0.000757083, 0.000262869, 0.00049379, 0.000205031, 5403, 2413, 12936
0.000589327, 0.000182928, 0.000405437, 0.000167249, 6348, 2026, 15015
0.000524618, 0.000169374, 0.000354413, 0.000140042, 6220, 1825, 11583
0.000439961, 0.000188128, 0.000250477, 0.000100442, 5709, 1645, 8184
0.000459511, 0.000193272, 0.000265526, 0.000105115, 6252, 2089, 8151
0.00061705, 0.000223709, 0.000392304, 0.000156749, 6017, 2227, 11979
0.000674563, 0.000224268, 0.000449191, 0.000187192, 5438, 2322, 12903
0.000677672, 0.000324858, 0.000351539, 0.000137147, 6311, 2452, 9867
0.000791098, 0.000338387, 0.00044895, 0.000183648, 6130, 2571, 14058
0.000600292, 0.000202099, 0.000397602, 0.000134746, 5457, 2300, 9108
0.000606921, 0.000278504, 0.000327443, 0.000120954, 5711, 2346, 7920
0.000544655, 0.000232263, 0.000311577, 0.000116372, 5862, 2500, 8085
0.000525673, 0.000241079, 0.00028352, 0.00010295, 5941, 2384, 6930
0.000386863, 0.000187747, 0.000198266, 7.5437e-05, 6279, 1600, 6501
0.000621565, 0.00027219, 0.000348559, 0.000135734, 6183, 1534, 8184
0.000399357, 0.000159059, 0.000239678, 8.484e-05, 5751, 1758, 5610
0.000606874, 0.000192199, 0.000413796, 0.000175753, 5982, 1509, 12177
0.000400443, 0.000220764, 0.00017872, 5.7095e-05, 6021, 1347, 3432
0.000313066, 0.000171206, 0.000140396, 4.7884e-05, 6074, 1471, 3003
0.000667361, 0.000236813, 0.000429578, 0.000175556, 5336, 1354, 11484
0.000386586, 0.000172466, 0.000212903, 7.6637e-05, 5590, 1056, 7722
0.000492047, 0.000210878, 0.000280471, 0.000105515, 5168, 1604, 7359
0.000427075, 0.000170955, 0.000255368, 0.000107389, 5320, 1545, 7656
0.000454522, 0.000198208, 0.000254751, 9.433e-05, 6213, 1664, 5412
0.000405321, 0.000170974, 0.00023325, 0.000101774, 5597, 1681, 4851
0.000503022, 0.000190175, 0.000311975, 0.000120614, 6048, 1917, 8613
0.000591443, 0.000280353, 0.000310178, 0.000120346, 5837, 2060, 10890
0.000589973, 0.000230415, 0.000358508, 0.000136788, 5533, 1983, 9405
0.00067364, 0.000291096, 0.00038156, 0.000142485, 5672, 2050, 8283
0.00050962, 0.000266532, 0.000241611, 9.1991e-05, 5174, 1842, 6270
0.000434471, 0.000204989, 0.000228764, 9.4804e-05, 5519, 1845, 5181
0.000454921, 0.000182045, 0.000272103, 9.4655e-05, 5729, 1828, 6336
0.000389818, 0.000185517, 0.000203439, 6.3764e-05, 6021, 1835, 4785
0.000571778, 0.000308632, 0.000261924, 9.0376e-05, 5863, 1674, 4323
0.000506886, 0.000275195, 0.000230799, 7.1975e-05, 5862, 1723, 4191
0.00032883, 0.000177519, 0.000150612, 5.112e-05, 5615, 1653, 3135
0.000349176, 0.00019858, 0.000150018, 4.592e-05, 5744, 1750, 2805
0.000377031, 0.000211401, 0.000164819, 4.7645e-05, 5847, 1782, 2805
0.000362338, 0.000203054, 0.000158134, 5.0287e-05, 5801, 1761, 3168
0.000523934, 0.000256322, 0.000265863, 9.4795e-05, 5749, 1721, 3366
0.00042475, 0.000179552, 0.000244292, 7.9039e-05, 5825, 1705, 3267
0.000468131, 0.000283134, 0.000184441, 5.6346e-05, 5480, 1543, 2937
0.000351946, 0.000217735, 0.000132691, 4.0645e-05, 5719, 1553, 2310
0.000420511, 0.000245501, 0.00017349, 5.1727e-05, 5621, 1579, 2343
0.000348433, 0.000229801, 0.000116837, 3.2672e-05, 5894, 1606, 1881
0.000302694, 0.000174307, 0.000127446, 3.8009e-05, 5588, 1448, 2244
0.000305971, 0.000162029, 0.000142195, 4.7781e-05, 5448, 1406, 1881
0.000283501, 0.000151663, 0.000130822, 2.5593e-05, 5454, 1376, 1254
0.000338271, 0.000223622, 0.000113081, 2.9867e-05, 5194, 1288, 1221
0.000359192, 0.000220199, 0.000137767, 2.8082e-05, 5813, 1437, 1056
0.000255495, 0.000149537, 0.000104926, 1.6058e-05, 5312, 1327, 759
0.000352785, 0.000204829, 0.000147036, 2.7502e-05, 5639, 1423, 1254
0.000296862, 0.00020679, 8.8941e-05, 2.536e-05, 5818, 1467, 1221
0.000313648, 0.000228197, 8.4441e-05, 1.4281e-05, 5825, 1451, 429
0.00033354, 0.000230337, 0.000102168, 2.0529e-05, 5442, 1341, 924
0.000376209, 0.000237108, 0.000138153, 2.3114e-05, 5840, 1434, 891
0.000327435, 0.000220428, 0.000106056, 2.1177e-05, 5325, 1375, 825
0.00027829, 0.000163283, 0.000114382, 3.5024e-05, 5627, 1469, 1188
0.000441213, 0.000290834, 0.000149864, 3.3848e-05, 5890, 1484, 1353
0.000398244, 0.000266915, 0.000130152, 1.7876e-05, 5751, 1489, 660
0.000367246, 0.000254599, 0.000111766, 1.4075e-05, 5545, 1407, 561
0.000233174, 0.000165804, 6.5748e-05, 9.537e-06, 5764, 1465, 528
0.000306222, 0.000189983, 0.000115365, 2.0038e-05, 5559, 1389, 825
0.000302857, 0.000189297, 0.00011261, 2.796e-05, 5164, 1327, 1122
0.000411902, 0.000308746, 0.000101483, 1.9315e-05, 5504, 1413, 759
0.000479211, 0.000372448, 0.000105121, 2.3191e-05, 5383, 1390, 693
0.000419231, 0.000229393, 0.000187533, 4.8748e-05, 5654, 1446, 1023
0.000398536, 0.000270872, 0.000126047, 1.8217e-05, 5272, 1393, 462
0.000302051, 0.000219789, 8.1464e-05, 5.609e-06, 5746, 1439, 165
0.000286413, 0.000217264, 6.7223e-05, 1.1337e-05, 5083, 1294, 594
0.000311677, 0.000156681, 0.000154047, 2.799e-05, 5851, 1479, 1089
0.000378647, 0.000293682, 8.3356e-05, 1.73e-05, 5820, 1481, 957
0.000341977, 0.000216263, 0.000124919, 1.9914e-05, 5520, 1427, 462
0.000264834, 0.000203549, 6.0054e-05, 9.676e-06, 5309, 1423, 561
0.00037646, 0.000275888, 9.9472e-05, 1.2269e-05, 5829, 1474, 462
0.000326409, 0.000203462, 0.000121749, 1.5959e-05, 5609, 1402, 693
0.000296031, 0.000231605, 6.3028e-05, 1.0017e-05, 5710, 1398, 396
0.000231231, 0.00016103, 6.9416e-05, 1.0905e-05, 5826, 1462, 561
0.000241029, 0.000173767, 6.5629e-05, 5.733e-06, 5539, 1434, 264
0.000250804, 0.000183523, 6.6705e-05, 4.951e-06, 5889, 1472, 231
0.00028192, 0.000200108, 8.0646e-05, 7.433e-06, 5561, 1434, 264
0.000457712, 0.000370438, 8.455e-05, 8.049e-06, 5421, 1371, 231
0.000331691, 0.000253201, 7.6732e-05, 5.024e-06, 5479, 1389, 99
0.000254359, 0.00020076, 5.2689e-05, 3.688e-06, 5807, 1424, 165
0.00022442, 0.000159916, 6.3003e-05, 7.343e-06, 5469, 1393, 330
0.000304918, 0.000245243, 5.7983e-05, 3.333e-06, 5848, 1500, 165
0.000377131, 0.00026108, 0.000113959, 1.2257e-05, 5708, 1477, 363
0.000193118, 0.000145473, 4.6833e-05, 3.716e-06, 5152, 1365, 165
0.000257877, 0.000202728, 5.4583e-05, 3.224e-06, 5830, 1503, 132
0.000275499, 0.000192779, 8.0963e-05, 5.552e-06, 5787, 1447, 165
0.000379598, 0.000303115, 7.5022e-05, 6.884e-06, 5645, 1387, 264
0.000333078, 0.000254041, 7.7914e-05, 6.562e-06, 5423, 1384, 231
0.000376282, 0.000222683, 0.000152459, 4.22e-06, 5864, 1437, 132
0.000252097, 0.000184157, 6.665e-05, 4.962e-06, 5625, 1435, 165
0.000298788, 0.000242895, 5.4911e-05, 4.673e-06, 5895, 1474, 198
0.000257392, 0.000180983, 7.5392e-05, 2.214e-06, 5758, 1467, 66
0.00020831, 0.000152422, 5.4279e-05, 0, 5560, 1390, 0
0.000273053, 0.000206987, 6.4944e-05, 5.701e-06, 5834, 1427, 33
0.000232886, 0.000161355, 7.0557e-05, 4.705e-06, 5743, 1416, 231
0.00038477, 0.000275392, 0.000107674, 2.6699e-05, 5579, 1404, 66
0.000278791, 0.000228928, 4.8497e-05, 1.805e-06, 5730, 1459, 99
0.000306494, 0.000216892, 8.8552e-05, 2.167e-06, 5637, 1401, 66
0.000187917, 0.000145847, 4.1159e-05, 8.77e-07, 5133, 1346, 33
0.000277978, 0.000215242, 6.1187e-05, 3.68e-06, 5773, 1454, 132
0.000335128, 0.000265908, 6.8535e-05, 0, 5238, 1330, 0
0.000430063, 0.000202332, 0.000226262, 8.3211e-05, 5171, 1272, 6039
0.000452434, 0.000196005, 0.000254728, 9.9074e-05, 5110, 1577, 11913
0.000328567, 0.000194115, 0.000133581, 4.467e-05, 4580, 1454, 4389
0.000455469, 0.00024104, 0.000213826, 4.4181e-05, 5107, 1508, 3333
0.000309718, 0.000149736, 0.000158849, 4.8143e-05, 5839, 1627, 2640
