mapping(ms), replan(ms), sfc(ms), mpc(ms), df(ms), 
0, 0, 0, 0.434401, 0.001013, 
0, 0, 0, 0.270629, 0.000761, 
0, 0, 0, 0.267719, 0.000803, 
0, 0, 0, 0.279619, 0.001156, 
0.123078, 0, 0, 0.265818, 0.000638, 
0, 0, 0, 0.343456, 0.000949, 
0, 0, 0, 0.268979, 0.000602, 
0, 0, 0, 0.447799, 0.000609, 
0, 0, 0, 0.432434, 0.00131, 
0.028031, 0, 0, 0.277999, 0.000959, 
0, 0, 0, 0.285583, 0.000749, 
0, 0, 0, 0.273851, 0.000869, 
0, 0, 0, 0.440893, 0.000974, 
0, 0, 0, 0.302401, 0.001589, 
0.322571, 0, 0, 0.423819, 0.00101, 
0, 0, 0, 0.422585, 0.001602, 
0, 0, 0, 0.401847, 0.001081, 
0, 0, 0, 0.267442, 0.000701, 
0, 0, 0, 0.284687, 0.000764, 
0.19737, 0, 0, 0.264113, 0.00072, 
0, 0, 0, 0.263939, 0.000647, 
0, 0, 0, 0.274181, 0.000576, 
0, 0, 0, 0.26084, 0.000589, 
0, 0, 0, 0.268065, 0.000649, 
0.019205, 0, 0, 0.338372, 0.000852, 
0, 0, 0, 0.435377, 0.00106, 
0, 0, 0, 0.3829, 0.000842, 
0, 0, 0, 0.258302, 0.000538, 
0, 0, 0, 0.43438, 0.000986, 
0.17431, 0, 0, 0.439998, 0.001037, 
0, 0, 0, 0.399555, 0.001265, 
0, 0, 0, 0.421529, 0.000885, 
0, 0, 0, 0.404073, 0.000912, 
0, 0, 0, 0.417099, 0.001084, 
0.310671, 0, 0, 0.261875, 0.000739, 
0, 0, 0, 0.2893, 0.000948, 
0, 0, 0, 0.289138, 0.000668, 
0, 0, 0, 0.268601, 0.000922, 
0, 0, 0, 0.289555, 0.000963, 
0.087132, 0, 0, 0.275896, 0.001321, 
0, 0, 0, 0.223276, 0.000261, 
0, 0, 0, 0.27162, 0.000652, 
0, 0, 0, 0.278337, 0.001812, 
0.054239, 0, 0, 0.272691, 0.001037, 
0, 0, 0, 0.449427, 0.001004, 
0, 0, 0, 0.394803, 0.00091, 
