mapping(ms), replan(ms), sfc(ms), mpc(ms), df(ms), 
0, 0.028736, 1.59804, 4.37248, 0.000707, 
0.036126, 0.025569, 1.57862, 4.57451, 0.000653, 
0, 0.03068, 1.60151, 3.93451, 0.001572, 
0, 0.035912, 1.59897, 5.45682, 0.001155, 
0.018461, 0.026215, 1.51243, 3.0867, 0.000749, 
0, 0.025157, 1.48117, 4.18373, 0.000718, 
0, 0.023411, 1.51428, 4.20793, 0.000731, 
0, 0.020899, 1.46652, 2.35972, 0.001177, 
0, 0.028988, 1.47612, 2.39901, 0.000634, 
0.331509, 0.025869, 1.58435, 3.13184, 0.000807, 
0, 0.021949, 1.4947, 3.17679, 0.000709, 
0, 0.044058, 2.68321, 4.02151, 0.001097, 
0, 0.022185, 1.47875, 2.1861, 0.000892, 
0, 0.051285, 2.78144, 16.2899, 0.001383, 
0.136572, 0.034781, 1.83923, 9.29182, 0.000963, 
0, 0.0294, 1.40158, 8.32984, 0.000654, 
0, 0.029195, 1.45738, 8.34289, 0.000744, 
0, 0.028397, 1.35142, 3.83914, 0.001158, 
0, 0.036525, 2.52511, 10.7934, 0.001004, 
0.011622, 0.022904, 1.45191, 3.04922, 0.000632, 
0, 0.038444, 2.58983, 4.9535, 0.000637, 
0, 0.030388, 1.39793, 4.24219, 0.000738, 
0, 0.029375, 1.40638, 2.80666, 0.000837, 
0, 0.027497, 1.45539, 3.96919, 0.000715, 
0.322809, 0.023057, 1.48631, 4.24133, 0.000668, 
0, 0.021954, 1.4084, 3.22435, 0.000737, 
0, 0.022767, 1.3392, 3.03529, 0.00064, 
0, 0.024358, 1.30516, 3.06916, 0.000951, 
0, 0.02756, 1.37759, 3.99626, 0.001068, 
0.328981, 0.02518, 1.66276, 3.55542, 0.000956, 
0, 0.0294, 1.42003, 3.74035, 0.000862, 
0, 0.028591, 1.31698, 3.51359, 0.000584, 
0, 0.022275, 1.29851, 3.38173, 0.000839, 
0, 0.023043, 1.41338, 2.75739, 0.000651, 
0.010996, 0.024215, 1.32096, 3.13265, 0.000609, 
0, 0.026728, 1.93208, 1.90533, 0.000847, 
0, 0.0237, 1.87644, 1.93216, 0.001079, 
0, 0.023648, 1.34405, 3.70367, 0.000741, 
0, 0.038826, 2.4171, 6.72085, 0.001382, 
0.125845, 0.036394, 1.74957, 3.47613, 0.001004, 
0, 0.037101, 2.34853, 6.4351, 0.000715, 
0, 0.021241, 1.7655, 1.90296, 0.000593, 
0, 0.023897, 1.87822, 1.89577, 0.000729, 
0, 0.039339, 3.2766, 4.09312, 0.00113, 
0.554076, 0.035477, 3.21359, 3.9573, 0.001053, 
0, 0.022157, 1.70715, 1.45647, 0.000604, 
0, 0.026284, 1.77445, 1.45852, 0.000514, 
0, 0.022159, 1.83011, 1.82267, 0.001109, 
0, 0.023999, 1.81057, 1.79086, 0.000802, 
0.024669, 0.024455, 1.34579, 4.27507, 0.001433, 
0, 0.028791, 1.29494, 4.45113, 0.002912, 
0, 0.031756, 1.8732, 1.54652, 0.000912, 
0.03051, 0.041064, 3.12445, 1.56136, 0.00095, 
0, 0.022579, 1.86324, 1.54915, 0.001066, 
0, 0.021899, 1.8632, 1.54895, 0.000723, 
0, 0.020879, 1.86512, 1.53468, 0.000846, 
0, 0.028196, 1.88911, 1.60196, 0.000999, 
0.350672, 15.3306, 1.31455, 2.53954, 0.000887, 
0, 15.5566, 1.29899, 2.30068, 0.000687, 
0, 15.3527, 1.56819, 2.80862, 0.000733, 
0.137618, 14.472, 1.79389, 3.35743, 0.000968, 
0, 13.7442, 1.81425, 3.18352, 0.000747, 
0, 13.9172, 1.74125, 3.34307, 0.00127, 
0.008863, 13.503, 1.78466, 2.38411, 0.000798, 
0, 13.774, 1.84569, 3.24739, 0.000693, 
0, 13.3928, 1.83307, 2.40237, 0.000733, 
0, 0.024048, 1.82304, 3.07915, 0.001169, 
0.293393, 14.6646, 1.79205, 1.60232, 0.000704, 
0, 11.5299, 1.77255, 1.89683, 0.000726, 
0, 0.017412, 1.84713, 2.47759, 0.000854, 
0, 0.024856, 1.74519, 2.03515, 0.000695, 
0.265038, 11.5979, 1.68006, 2.23575, 0.000642, 
0, 11.6862, 1.68975, 2.04878, 0.000895, 
0, 11.6555, 1.70234, 2.05922, 0.001269, 
0.009947, 13.5091, 2.01278, 2.12296, 0.001041, 
0, 13.7323, 1.88628, 2.28121, 0.000813, 
0, 13.8417, 1.83089, 2.63788, 0.000758, 
0, 13.5159, 1.77659, 3.09607, 0.000816, 
0.176574, 12.7512, 1.63414, 3.42222, 0.000637, 
0, 12.9939, 1.63114, 2.28756, 0.000727, 
0, 13.4273, 1.62022, 2.58111, 0.000751, 
0, 12.2566, 1.68538, 3.41124, 0.000637, 
0.41701, 12.6293, 1.60621, 2.65768, 0.001143, 
0, 13.1163, 1.60802, 3.36542, 0.000802, 
0, 12.7687, 1.84123, 8.81041, 0.00066, 
0.027762, 13.1895, 1.85009, 3.46485, 0.000908, 
0, 13.01, 1.68478, 2.4131, 0.001212, 
0.07924, 13.1619, 1.74188, 4.11794, 0.000927, 
0, 14.0403, 1.78493, 3.23636, 0.000822, 
0, 15.3779, 1.71233, 2.47016, 0.001251, 
0, 13.6228, 1.4611, 2.40526, 0.000707, 
0.417099, 14.8171, 1.81086, 2.37744, 0.000839, 
0, 15.4347, 1.50114, 1.68068, 0.001321, 
0, 12.0925, 1.46918, 4.37628, 0.000792, 
0, 12.1754, 1.44377, 4.60131, 0.000655, 
0.296122, 14.2514, 1.57158, 2.01471, 0.000947, 
0, 14.4895, 1.52581, 2.31706, 0.001032, 
0.028303, 14.3674, 1.5461, 1.97258, 0.001024, 
0, 14.5585, 1.59682, 2.04447, 0.00063, 
0, 14.6057, 1.608, 2.19273, 0.000691, 
0, 14.5073, 1.60793, 3.02764, 0.000838, 
0.485854, 12.7326, 1.62848, 2.05731, 0.000578, 
0, 12.594, 1.58822, 2.32937, 0.000879, 
0, 12.5852, 1.51851, 2.22796, 0.000892, 
0, 12.4101, 1.49996, 2.01479, 0.001227, 
0.50074, 12.1771, 1.64038, 2.77243, 0.001269, 
0, 12.1694, 1.67272, 2.49687, 0.000936, 
0, 12.1233, 1.64623, 2.29525, 0.001089, 
0.035315, 12.9917, 1.56102, 2.50912, 0.000879, 
0, 12.9919, 1.56694, 3.75358, 0.000707, 
0, 11.5093, 1.65153, 1.96412, 0.001066, 
0.250674, 11.3467, 1.74107, 2.24648, 0.000942, 
0, 15.0328, 1.56732, 1.77381, 0.000821, 
0, 11.8014, 1.76729, 4.21618, 0.000962, 
0, 11.7173, 1.66197, 2.49743, 0.000821, 
0.28674, 10.6934, 1.61343, 1.98307, 0.000615, 
0, 10.6028, 1.62464, 1.9717, 0.001279, 
0, 10.8569, 1.73699, 2.59446, 0.001079, 
0, 10.7342, 1.77378, 2.27365, 0.001023, 
0.167488, 10.3778, 1.70931, 2.63524, 0.000927, 
0, 10.7182, 1.59639, 2.19298, 0.00089, 
0.120775, 10.5896, 1.70796, 4.03904, 0.00097, 
0, 10.6208, 1.69209, 1.95851, 0.000608, 
0, 10.8523, 1.73312, 1.9923, 0.000959, 
0, 10.4164, 1.63492, 2.2363, 0.000989, 
0.211739, 10.7065, 1.71958, 2.29537, 0.000615, 
0, 10.4805, 1.75125, 2.57172, 0.001144, 
0, 9.77539, 1.77166, 3.02949, 0.0007, 
0.210607, 10.1529, 1.69641, 2.01874, 0.001298, 
0, 10.826, 1.80589, 3.04974, 0.001368, 
0, 10.5283, 1.71463, 3.48911, 0.000794, 
0, 10.446, 1.80494, 5.07253, 0.001078, 
0.039454, 10.4958, 1.79272, 2.15289, 0.000673, 
0, 10.11, 1.76275, 2.23006, 0.000636, 
0, 9.85231, 1.73858, 2.91224, 0.000849, 
0, 9.36031, 1.68132, 1.8491, 0.000769, 
0.2348, 9.58265, 2.08672, 2.03819, 0.0006, 
0, 9.3763, 1.61592, 1.97094, 0.000716, 
0, 9.58693, 1.64242, 2.80424, 0.001016, 
0, 9.98382, 1.62631, 1.56453, 0.000837, 
0.236241, 9.77348, 1.74891, 3.83819, 0.000816, 
0, 8.54569, 1.63867, 1.71848, 0.000689, 
0, 8.70143, 1.71942, 2.95266, 0.00078, 
0, 8.40167, 1.62115, 2.31751, 0.000956, 
0.038856, 8.90012, 1.63604, 2.26336, 0.000655, 
0, 8.96314, 1.58206, 2.61796, 0.001185, 
0, 8.97533, 1.66036, 2.56998, 0.001481, 
0, 8.91021, 1.62375, 2.57965, 0.000851, 
0.148657, 8.74069, 1.63772, 4.2439, 0.000614, 
0, 8.84541, 1.65878, 4.22166, 0.000679, 
0, 8.86595, 1.70307, 4.60425, 0.000672, 
0, 8.94349, 1.70839, 1.91897, 0.001256, 
0, 8.68397, 1.75074, 3.3319, 0.001156, 
0.407907, 8.62847, 1.70997, 3.99314, 0.000649, 
0, 8.54847, 1.69602, 2.02162, 0.001288, 
0, 8.9589, 1.71249, 2.31595, 0.000698, 
0.061884, 8.88986, 1.67767, 2.57129, 0.000996, 
0, 8.41997, 1.72274, 3.21051, 0.001113, 
0, 8.15918, 1.7541, 4.45972, 0.000701, 
0, 8.26523, 1.66092, 3.04053, 0.000864, 
0.045734, 7.70628, 1.70723, 3.76784, 0.00091, 
0, 7.85236, 1.67177, 3.86871, 0.000731, 
0, 7.86249, 1.75887, 4.49521, 0.001135, 
0, 7.83284, 1.73246, 3.19524, 0.000701, 
0, 7.77546, 1.59742, 3.69126, 0.000725, 
0.350975, 8.04983, 1.57907, 4.17467, 0.000929, 
0, 10.0563, 1.67322, 3.007, 0.00085, 
0, 8.42067, 1.58713, 3.18474, 0.000974, 
0, 7.54958, 1.73864, 3.39418, 0.00099, 
0, 7.45469, 1.62881, 4.16108, 0.001427, 
0.149295, 8.06855, 1.67171, 5.00391, 0.001148, 
0, 8.21272, 1.69502, 4.82475, 0.00079, 
0, 8.54384, 1.68104, 4.10818, 0.000854, 
0, 8.97857, 1.76899, 6.64706, 0.000733, 
0, 7.76075, 1.69461, 5.33904, 0.00076, 
0.019095, 7.1817, 1.81734, 4.83237, 0.000781, 
0, 7.04525, 1.6351, 4.00351, 0.000971, 
0, 7.93421, 1.84255, 4.52793, 0.000672, 
0, 8.0472, 1.69712, 3.31763, 0.000963, 
0.273249, 7.62319, 1.66829, 4.16105, 0.000522, 
0, 6.86467, 1.61159, 5.6283, 0.000876, 
0, 7.01105, 1.70789, 3.63984, 0.00073, 
0, 7.00669, 1.7808, 4.84225, 0.000765, 
0.226492, 6.71641, 1.72277, 6.19454, 0.000766, 
0, 7.42487, 1.761, 3.87093, 0.001118, 
0, 7.23451, 1.77358, 3.49533, 0.001109, 
0, 7.32601, 1.79591, 3.86411, 0.001456, 
0.016083, 7.28233, 1.68588, 3.38467, 0.000823, 
0, 7.24762, 1.66264, 3.63108, 0.000794, 
0, 7.37946, 1.7117, 3.70105, 0.000584, 
0, 7.17267, 1.66119, 4.10214, 0.00069, 
0, 8.11828, 1.79145, 3.81544, 0.000567, 
0, 7.48535, 1.66254, 5.21337, 0.000636, 
0.107574, 6.91159, 1.64008, 3.77374, 0.000699, 
0, 6.4046, 1.70076, 3.88123, 0.000743, 
0, 6.60404, 1.58229, 7.33647, 0.001212, 
0, 8.49721, 1.60417, 4.46519, 0.000674, 
0.271912, 6.64572, 1.83066, 9.4894, 0.001012, 
0, 7.36483, 1.65415, 8.04863, 0.000659, 
0, 7.27423, 1.49222, 6.64829, 0.000757, 
0, 7.27418, 1.38765, 3.46863, 0.000589, 
0, 7.15458, 1.47303, 6.50855, 0.000966, 
0.051159, 7.57019, 1.67233, 6.77039, 0.000646, 
0, 7.32704, 1.55992, 6.4843, 0.001058, 
0.032201, 7.36029, 1.52426, 6.45627, 0.000653, 
0, 7.27532, 1.60863, 3.61012, 0.000677, 
0, 7.16498, 2.1912, 3.02685, 0.000752, 
0, 6.02184, 1.4493, 2.64662, 0.00059, 
0.281978, 6.16869, 1.57685, 3.96049, 0.000775, 
0, 6.38153, 1.62012, 4.08101, 0.001154, 
0, 6.29056, 1.63175, 3.18826, 0.000838, 
0, 6.14754, 1.5987, 6.28624, 0.000745, 
0, 6.2721, 1.59811, 3.79419, 0.001162, 
0.127105, 6.20441, 1.70283, 4.6228, 0.001221, 
0, 6.48948, 1.57086, 4.73421, 0.000654, 
0, 5.97379, 1.62118, 7.79056, 0.000807, 
0, 6.21171, 1.71504, 5.28114, 0.000794, 
0, 6.29003, 1.46337, 3.68317, 0.000654, 
0.023129, 5.85239, 1.46831, 2.8281, 0.001228, 
0, 6.00128, 1.44795, 3.3961, 0.000969, 
0, 5.79765, 1.45051, 2.65583, 0.000918, 
0, 5.74201, 1.57703, 4.42008, 0.001717, 
0, 5.91322, 1.60462, 5.50151, 0.001352, 
0, 5.88592, 1.57874, 5.49152, 0.000645, 
0.296017, 5.87231, 1.62363, 3.14712, 0.000686, 
0, 6.24367, 1.47776, 4.07453, 0.000927, 
0, 7.19935, 1.41561, 3.97115, 0.000807, 
0, 5.93435, 1.4496, 3.1119, 0.000993, 
0.278854, 6.1168, 1.75456, 3.49302, 0.000601, 
0, 6.02053, 1.71524, 4.86713, 0.000686, 
0, 5.91039, 1.64704, 4.10942, 0.000553, 
0, 6.20261, 1.56093, 4.40899, 0.000986, 
0.01395, 5.9535, 1.60567, 3.66112, 0.001001, 
0, 6.11855, 1.64752, 3.66957, 0.00069, 
0, 5.79493, 1.96423, 3.24473, 0.000827, 
0, 5.88852, 0.873983, 6.15704, 0.000905, 
0, 5.97621, 1.67569, 3.47736, 0.0008, 
0, 5.68455, 1.49211, 3.77169, 0.000795, 
0.195899, 10.052, 1.6371, 3.59149, 0.000678, 
0, 5.57113, 1.50962, 3.69843, 0.000785, 
0, 0.015755, 1.47515, 3.42251, 0.000722, 
0, 0.014597, 1.4778, 3.74367, 0.000975, 
0, 0.023587, 2.20259, 3.02126, 0.000812, 
0.465687, 0.020963, 1.97402, 2.67295, 0.000665, 
0, 0.016453, 1.75719, 2.75226, 0.000582, 
0, 0.011949, 1.49151, 3.23181, 0.000573, 
0, 0.0141, 1.45504, 2.6983, 0.000699, 
0, 0.014658, 1.42022, 2.70782, 0.000901, 
0.049618, 0.025192, 1.95005, 3.08439, 0.00082, 
0, 0.018447, 1.5146, 3.08788, 0.00098, 
0.035051, 0.026281, 1.51692, 3.20738, 0.00137, 
0, 0.015013, 1.44064, 2.70367, 0.000749, 
0, 0.014409, 1.43672, 2.83996, 0.000871, 
0, 0.028972, 2.52865, 6.9736, 0.000747, 
0, 0.013224, 1.40261, 3.33947, 0.000909, 
0, 0.015194, 1.41776, 3.6267, 0.000946, 
0.472202, 0.021988, 2.28182, 3.18041, 0.000726, 
0, 0.022992, 2.44766, 4.25195, 0.000644, 
0, 0.020795, 2.56553, 4.28082, 0.000638, 
0, 0.019536, 2.41536, 5.51399, 0.001465, 
0, 0.02152, 2.43851, 7.70878, 0.00099, 
0.192757, 0.023633, 2.36182, 3.58624, 0.000571, 
0, 0.011, 1.52698, 3.83745, 0.000795, 
0, 0.013447, 1.58982, 3.33566, 0.00079, 
0, 0.013559, 1.56854, 4.79923, 0.000705, 
0.020363, 0.019283, 1.60157, 3.48967, 0.001239, 
0, 0.014829, 1.57946, 8.15201, 0.00094, 
0, 0.014215, 1.52993, 3.63842, 0.000632, 
0, 0.013096, 1.54265, 3.53102, 0.001107, 
0, 0.013969, 1.61945, 3.24187, 0.000651, 
0, 0.01399, 1.87853, 3.67657, 0.000999, 
0.210126, 4.80452, 1.44841, 4.15371, 0.000672, 
0, 4.7732, 1.47815, 3.48103, 0.000735, 
0, 4.72637, 1.55022, 3.32281, 0.000994, 
0, 4.84973, 1.50772, 3.22066, 0.001246, 
0, 4.22684, 1.58078, 5.08398, 0.00085, 
0.193069, 4.15857, 1.5156, 4.54259, 0.000626, 
0, 4.18314, 1.55893, 2.2232, 0.001062, 
0, 4.11244, 1.51784, 2.96516, 0.000663, 
0, 4.15354, 1.58975, 2.99049, 0.000698, 
0, 4.77584, 1.54721, 2.36289, 0.00087, 
0.017042, 4.8705, 1.52267, 4.33212, 0.000794, 
0, 4.63174, 1.80112, 2.80456, 0.000548, 
0, 4.52339, 1.47911, 5.37327, 0.00075, 
0, 5.43692, 1.42123, 3.40257, 0.001126, 
0, 4.56992, 1.4229, 2.74514, 0.000573, 
0.137836, 4.25347, 1.54135, 3.0941, 0.000814, 
0, 4.23903, 1.87005, 4.4121, 0.00082, 
0, 4.27769, 1.49929, 4.06987, 0.000579, 
0, 4.33649, 1.45881, 3.8941, 0.000718, 
0, 4.29736, 1.50756, 4.02451, 0.001225, 
0.249304, 4.10112, 1.49338, 4.40973, 0.00067, 
0, 4.0651, 1.4462, 3.46821, 0.000667, 
0, 3.95229, 1.39984, 4.14479, 0.00067, 
0, 4.06267, 1.4284, 4.30092, 0.000874, 
0, 4.31993, 1.46342, 4.45354, 0.001076, 
0.032186, 4.25722, 1.97724, 4.96294, 0.000851, 
0, 4.1799, 1.37564, 2.16291, 0.001016, 
0, 4.02374, 1.2968, 4.69344, 0.000931, 
0.043524, 5.32121, 1.24039, 1.90325, 0.00087, 
0, 3.90477, 1.66205, 2.66561, 0.000724, 
0, 4.02977, 1.7152, 1.78319, 0.000663, 
0, 4.05709, 1.33965, 3.93772, 0.001072, 
0.25514, 3.6283, 1.36748, 3.96615, 0.000953, 
0, 3.70549, 1.3584, 2.97697, 0.000647, 
0, 3.62779, 1.34651, 3.30015, 0.00071, 
0, 3.63876, 1.34326, 3.66805, 0.000966, 
0, 3.73561, 1.35064, 3.77627, 0.001412, 
0, 3.68371, 1.29026, 4.92574, 0.000783, 
0.114312, 3.63567, 1.32584, 3.58738, 0.000635, 
0, 4.13237, 1.27174, 3.7957, 0.000574, 
0, 4.17036, 1.52443, 3.06845, 0.000901, 
0, 4.23389, 1.83474, 3.39267, 0.001029, 
0.024936, 6.24097, 1.73431, 1.71146, 0.000837, 
0, 4.21054, 1.59758, 3.75069, 0.000953, 
0, 4.08228, 1.48453, 4.43541, 0.000609, 
0, 4.10642, 1.51748, 5.25239, 0.000594, 
0, 4.17187, 1.34855, 3.67232, 0.000953, 
0, 4.13616, 1.36532, 4.21954, 0.000781, 
0.574063, 6.58043, 2.62197, 4.37934, 0.000682, 
0, 0.013702, 1.4311, 3.39809, 0.000909, 
0, 0.009993, 1.49339, 4.01811, 0.000711, 
0, 0.018112, 3.32021, 2.61008, 0.001108, 
0, 0.019419, 3.4442, 2.591, 0.001568, 
0.455724, 0.01763, 2.60311, 6.00715, 0.000737, 
0, 0.01175, 1.87501, 1.6565, 0.000461, 
0, 0.01143, 1.86587, 1.62593, 0.000721, 
0, 0.017964, 3.44056, 2.82257, 0.001529, 
0.02132, 0.014374, 1.92328, 1.41387, 0.00075, 
0, 0.016463, 1.95958, 2.74796, 0.000836, 
0, 0.016664, 1.86244, 2.9292, 0.000658, 
0, 0.012192, 1.85385, 2.291, 0.000711, 
0, 0.017042, 1.94603, 3.27046, 0.000654, 
0, 0.012347, 1.94077, 1.73515, 0.000824, 
0.325396, 0.011256, 1.89404, 1.42863, 0.000647, 
0, 0.020293, 3.37716, 7.679, 0.00109, 
0, 0.011311, 1.81129, 1.57894, 0.000563, 
0, 0.010818, 1.83688, 1.43453, 0.000718, 
0.487421, 0.013507, 3.45445, 4.0493, 0.001443, 
0, 0.019623, 2.8031, 2.26054, 0.000621, 
0, 0.011142, 1.49592, 2.75514, 0.000878, 
0, 0.011071, 1.84232, 2.62095, 0.000528, 
0, 0.013354, 1.29025, 3.01718, 0.001058, 
0.138586, 0.017604, 2.26386, 4.51652, 0.001295, 
0, 0.014965, 2.66336, 2.84854, 0.000897, 
0, 0.016168, 1.34075, 2.97421, 0.00123, 
0.081025, 0.011328, 1.31778, 3.12053, 0.001229, 
0, 0.012638, 1.53733, 3.30419, 0.000798, 
0, 0.015194, 1.5525, 2.25143, 0.000906, 
0, 0.009521, 1.24725, 3.4989, 0.000843, 
0, 0.018256, 2.24117, 5.71938, 0.000615, 
0.598447, 0.016103, 2.25369, 1.47205, 0.000614, 
0, 0.012848, 1.9547, 2.34593, 0.000552, 
0, 0.014261, 1.95189, 3.007, 0.000746, 
0, 0.009988, 1.95909, 2.74644, 0.000704, 
0, 0.010186, 1.84953, 2.90366, 0.000756, 
0.139778, 0.013199, 1.94763, 3.77846, 0.000767, 
0, 0.012855, 1.9416, 2.69336, 0.00072, 
0, 0.014205, 1.92325, 2.64782, 0.00097, 
0, 0.012551, 1.96745, 4.50513, 0.000656, 
0, 0.017897, 3.43934, 6.10332, 0.001374, 
0.022052, 0.017092, 3.3891, 5.48329, 0.001138, 
0, 0.016749, 1.94198, 3.11166, 0.00107, 
0, 0.017088, 3.36116, 5.90424, 0.000971, 
0, 0.016344, 2.33528, 3.97743, 0.000624, 
0, 0.011702, 1.89317, 2.83064, 0.001198, 
0.336172, 0.011894, 2.01524, 2.32317, 0.000715, 
0, 0.017949, 3.3795, 4.65316, 0.00096, 
0, 0.008598, 1.83657, 2.17356, 0.000602, 
0, 0.012182, 1.89687, 3.38795, 0.000872, 
0, 0.009851, 1.93884, 1.79962, 0.000819, 
0.48414, 0.011471, 1.96353, 2.47821, 0.000637, 
0, 0.015841, 1.77342, 2.57103, 0.000588, 
0, 0.010378, 1.6383, 2.50012, 0.000616, 
0, 0.010211, 1.7279, 2.39026, 0.000395, 
0, 0.018223, 3.10849, 3.32801, 0.00168, 
0.11415, 0.011422, 1.57125, 2.01693, 0.000831, 
0, 0.018767, 2.58604, 2.00773, 0.000758, 
0, 0.00956, 1.54982, 2.05688, 0.000655, 
0, 0.010752, 1.62025, 1.91277, 0.00066, 
0, 0.015751, 2.78335, 2.80676, 0.000809, 
0.435746, 0.013906, 2.64006, 1.93774, 0.000957, 
0, 0.012036, 1.51061, 2.08103, 0.000645, 
0, 0.009812, 1.50636, 1.95292, 0.000931, 
0, 0.013854, 1.49937, 2.15845, 0.000852, 
0, 0.016332, 2.89994, 4.04917, 0.001087, 
0.509901, 0.01367, 2.84543, 3.3367, 0.000894, 
0, 0.016954, 2.30716, 2.88857, 0.000658, 
0, 0.010807, 1.56058, 2.58577, 0.00099, 
0, 0.010153, 1.54925, 2.52734, 0.00073, 
0, 0.009761, 1.53736, 1.90947, 0.00072, 
0.051314, 0.01439, 2.873, 3.21966, 0.001134, 
0, 0.011238, 1.56262, 1.92335, 0.000844, 
0, 0.010954, 1.53747, 1.57296, 0.000852, 
0.135217, 0.02246, 1.75271, 1.64561, 0.002778, 
0, 0.016758, 1.81297, 1.56117, 0.000812, 
0, 0.006708, 38.0472, 1.40487, 0.000959, 
0, 0.011107, 1.53424, 1.56397, 0.001251, 
0.361275, 0.008651, 1.52569, 1.41375, 0.000527, 
0, 0.015018, 2.67692, 2.51712, 0.001084, 
0, 0.007565, 1.45614, 1.37508, 0.000656, 
0, 0.018305, 1.719, 1.50663, 0.00062, 
0.375873, 0.015122, 2.71226, 2.68316, 0.00158, 
0, 0.011092, 1.53609, 1.43514, 0.000795, 
0, 0.009051, 1.50996, 1.4719, 0.000947, 
0, 0.010667, 1.51623, 1.37711, 0.001103, 
0, 0.009309, 1.55923, 1.50142, 0.001008, 
0.048819, 0.009377, 1.63586, 1.57008, 0.000647, 
0, 0.009357, 1.56214, 1.97395, 0.000668, 
0, 0.01043, 1.5164, 1.42018, 0.000702, 
0, 0.010117, 1.57394, 1.43681, 0.000832, 
0, 0.011244, 1.63166, 1.62839, 0.000786, 
0.302664, 0.008653, 1.64975, 1.7918, 0.000549, 
0, 0.008567, 1.58341, 1.80106, 0.000531, 
0, 0.035888, 1.55781, 1.75632, 0.000784, 
0, 0.016308, 1.6153, 1.95056, 0.001023, 
0, 0.009674, 1.5752, 1.53039, 0.000847, 
0, 0.009489, 2.63647, 2.19749, 0.000809, 
0.284656, 0.008464, 1.60883, 1.82334, 0.000784, 
0, 0.009748, 1.63409, 2.00395, 0.000681, 
0, 0.013494, 2.41461, 1.55911, 0.000625, 
0, 0.008917, 1.567, 1.55633, 0.000725, 
0.055603, 0.010711, 2.35864, 1.90196, 0.00096, 
0, 0.008385, 1.67594, 1.96375, 0.000663, 
0, 0.008517, 1.63056, 2.09277, 0.001353, 
0, 0.008073, 1.64806, 1.96987, 0.000758, 
0, 0.008251, 1.81352, 2.09024, 0.000621, 
0.197712, 0.008451, 1.69388, 2.05591, 0.000705, 
0, 0.009489, 1.62008, 1.98637, 0.000673, 
0, 0.013718, 2.86624, 3.02705, 0.00096, 
0, 0.008139, 1.56073, 1.85486, 0.000652, 
0, 0.010534, 1.58947, 1.61893, 0.000944, 
0, 0.009982, 1.61213, 1.94913, 0.001249, 
0.42907, 0.012806, 1.60162, 1.81821, 0.000982, 
0, 0.011613, 1.60312, 1.8829, 0.000991, 
0, 0.008043, 1.58203, 1.50428, 0.000502, 
0, 0.008143, 1.68958, 2.0845, 0.000743, 
0.106848, 0.009271, 1.7877, 1.65692, 0.000679, 
0, 0.010684, 1.67137, 2.10013, 0.001006, 
0, 0.015076, 1.96823, 1.99709, 0.000854, 
0, 0.010077, 1.62021, 2.06302, 0.000959, 
0, 0.008724, 1.60131, 1.49828, 0.000723, 
0.076117, 0.009015, 1.52573, 1.73877, 0.000679, 
0, 0.010181, 1.6535, 1.85821, 0.000964, 
0, 0.008921, 1.61297, 1.8571, 0.000689, 
0, 0.007559, 1.57651, 1.5628, 0.000565, 
0, 0.00765, 1.6138, 2.01047, 0.000689, 
0, 0.008527, 1.57155, 2.07921, 0.000996, 
0.319349, 0.006971, 1.5542, 2.31267, 0.000586, 
0, 0.010171, 1.65369, 2.33241, 0.000907, 
0, 0.007691, 1.58977, 2.96948, 0.00086, 
0, 0.008611, 1.77703, 2.40034, 0.000833, 
0, 0.008419, 1.61467, 2.71334, 0.00066, 
0.252373, 0.01048, 1.74224, 3.23375, 0.001064, 
0, 0.010118, 1.65914, 2.85517, 0.000645, 
0, 0.007297, 1.74687, 1.672, 0.000835, 
0, 0.011211, 2.91016, 3.27429, 0.000838, 
0.017003, 0.007751, 1.68607, 2.21415, 0.000685, 
0, 0.008862, 1.73898, 2.16133, 0.000632, 
0, 0.007787, 1.77244, 2.08475, 0.000615, 
0, 0.007223, 1.70354, 2.05149, 0.000772, 
0, 0.007496, 1.70997, 2.28444, 0.001776, 
0, 0.011956, 1.60096, 2.13453, 0.000975, 
0.460354, 0.010056, 2.54522, 2.22155, 0.000711, 
0, 0.009182, 1.68408, 2.16315, 0.001214, 
0, 0.007349, 1.62753, 2.07273, 0.000901, 
0, 0.013355, 2.31241, 2.70566, 0.000938, 
0, 0.007954, 1.62003, 2.3431, 0.00068, 
0.310917, 0.006353, 2.07268, 2.22529, 0.000883, 
0, 0.008868, 1.60787, 2.18995, 0.000541, 
0, 0.007049, 1.6554, 2.23135, 0.000874, 
0, 0.009009, 1.82198, 2.2837, 0.001046, 
0.030976, 0.009629, 1.60176, 1.65936, 0.000702, 
0, 0.012356, 2.9284, 3.0501, 0.001132, 
0, 0.006569, 1.64981, 1.75951, 0.000602, 
0, 0.011219, 2.8309, 2.0818, 0.000621, 
0, 0.006545, 1.56204, 1.65675, 0.000695, 
0, 0.009068, 1.58124, 1.62626, 0.000666, 
0.183363, 0.006308, 1.6032, 1.68794, 0.0007, 
0, 0.008087, 1.4814, 1.51091, 0.000696, 
0, 0.00808, 1.42599, 1.45478, 0.000923, 
0, 0.009507, 1.53099, 1.61329, 0.00116, 
0, 0.010353, 1.60218, 1.62337, 0.001034, 
0.490862, 0.0084, 2.29528, 2.40929, 0.000905, 
0, 0.009536, 2.19212, 2.31479, 0.000815, 
0, 0.006342, 1.4398, 1.61108, 0.000875, 
0, 0.010615, 2.60768, 2.85732, 0.001266, 
